Source,Target,Weight,Distance,Type
0,50,0.65,7,Undirected
0,21,0.6,8,Undirected
0,34,0.6,8,Undirected
0,37,0.6,8,Undirected
0,26,0.55,9,Undirected
0,71,0.55,9,Undirected
0,10,0.5,10,Undirected
0,17,0.5,10,Undirected
0,18,0.5,10,Undirected
0,22,0.5,10,Undirected
0,87,0.5,10,Undirected
0,4,0.44999999999999996,11,Undirected
0,24,0.44999999999999996,11,Undirected
0,27,0.44999999999999996,11,Undirected
0,38,0.44999999999999996,11,Undirected
0,9,0.19999999999999996,16,Undirected
0,13,0.35,13,Undirected
0,53,0.0,20,Undirected
1,50,0.44999999999999996,11,Undirected
1,79,0.44999999999999996,11,Undirected
1,3,0.4,12,Undirected
1,12,0.4,12,Undirected
1,17,0.4,12,Undirected
1,18,0.4,12,Undirected
1,21,0.4,12,Undirected
1,34,0.4,12,Undirected
1,41,0.4,12,Undirected
1,42,0.4,12,Undirected
1,44,0.4,12,Undirected
1,48,0.4,12,Undirected
1,62,0.4,12,Undirected
1,66,0.4,12,Undirected
1,87,0.4,12,Undirected
1,15,0.35,13,Undirected
2,75,0.65,7,Undirected
2,18,0.6,8,Undirected
2,19,0.6,8,Undirected
2,22,0.6,8,Undirected
2,47,0.6,8,Undirected
2,48,0.6,8,Undirected
2,64,0.6,8,Undirected
2,87,0.6,8,Undirected
2,23,0.55,9,Undirected
2,50,0.55,9,Undirected
2,68,0.55,9,Undirected
2,89,0.55,9,Undirected
2,3,0.5,10,Undirected
2,5,0.5,10,Undirected
2,10,0.5,10,Undirected
2,38,0.44999999999999996,11,Undirected
2,57,0.4,12,Undirected
2,71,0.44999999999999996,11,Undirected
2,79,0.44999999999999996,11,Undirected
3,48,0.9,2,Undirected
3,21,0.7,6,Undirected
3,46,0.7,6,Undirected
3,87,0.7,6,Undirected
3,75,0.65,7,Undirected
3,5,0.6,8,Undirected
3,17,0.6,8,Undirected
3,18,0.6,8,Undirected
3,19,0.6,8,Undirected
3,34,0.6,8,Undirected
3,42,0.6,8,Undirected
3,44,0.6,8,Undirected
3,66,0.6,8,Undirected
3,50,0.55,9,Undirected
3,56,0.55,9,Undirected
3,7,0.35,13,Undirected
3,15,0.35,13,Undirected
3,37,0.4,12,Undirected
3,41,0.4,12,Undirected
3,58,0.5,10,Undirected
3,67,0.5,10,Undirected
3,71,0.44999999999999996,11,Undirected
3,73,0.55,9,Undirected
3,79,0.44999999999999996,11,Undirected
4,75,0.7,6,Undirected
4,5,0.65,7,Undirected
4,19,0.65,7,Undirected
4,22,0.65,7,Undirected
4,47,0.65,7,Undirected
4,58,0.65,7,Undirected
4,61,0.65,7,Undirected
4,24,0.6,8,Undirected
4,56,0.6,8,Undirected
4,69,0.6,8,Undirected
4,89,0.6,8,Undirected
4,14,0.55,9,Undirected
4,18,0.55,9,Undirected
4,21,0.55,9,Undirected
4,34,0.55,9,Undirected
4,13,0.4,12,Undirected
4,36,0.5,10,Undirected
4,43,0.25,15,Undirected
4,52,0.44999999999999996,11,Undirected
4,54,0.44999999999999996,11,Undirected
4,71,0.5,10,Undirected
4,76,0.55,9,Undirected
4,77,0.25,15,Undirected
4,78,0.30000000000000004,14,Undirected
4,82,0.30000000000000004,14,Undirected
4,85,0.5,10,Undirected
5,19,0.8,4,Undirected
5,75,0.75,5,Undirected
5,18,0.7,6,Undirected
5,21,0.7,6,Undirected
5,34,0.7,6,Undirected
5,48,0.7,6,Undirected
5,87,0.7,6,Undirected
5,39,0.65,7,Undirected
5,56,0.65,7,Undirected
5,73,0.65,7,Undirected
5,89,0.65,7,Undirected
5,12,0.6,8,Undirected
5,17,0.6,8,Undirected
5,7,0.44999999999999996,11,Undirected
5,8,0.5,10,Undirected
5,11,0.55,9,Undirected
5,13,0.35,13,Undirected
5,14,0.5,10,Undirected
5,22,0.6,8,Undirected
5,23,0.55,9,Undirected
5,26,0.55,9,Undirected
5,27,0.44999999999999996,11,Undirected
5,28,0.44999999999999996,11,Undirected
5,40,0.55,9,Undirected
5,41,0.4,12,Undirected
5,42,0.6,8,Undirected
5,46,0.6,8,Undirected
5,47,0.6,8,Undirected
5,51,0.6,8,Undirected
5,55,0.6,8,Undirected
5,58,0.6,8,Undirected
5,61,0.6,8,Undirected
5,62,0.6,8,Undirected
5,63,0.5,10,Undirected
5,64,0.6,8,Undirected
5,66,0.5,10,Undirected
5,67,0.5,10,Undirected
5,71,0.55,9,Undirected
5,80,0.44999999999999996,11,Undirected
5,83,0.6,8,Undirected
5,85,0.55,9,Undirected
6,18,0.6,8,Undirected
6,34,0.6,8,Undirected
6,38,0.55,9,Undirected
6,10,0.5,10,Undirected
6,12,0.5,10,Undirected
6,42,0.5,10,Undirected
6,64,0.5,10,Undirected
6,87,0.5,10,Undirected
6,11,0.44999999999999996,11,Undirected
6,15,0.44999999999999996,11,Undirected
6,27,0.44999999999999996,11,Undirected
6,36,0.44999999999999996,11,Undirected
6,50,0.44999999999999996,11,Undirected
6,68,0.44999999999999996,11,Undirected
6,89,0.44999999999999996,11,Undirected
7,21,0.55,9,Undirected
7,62,0.55,9,Undirected
7,72,0.44999999999999996,11,Undirected
7,30,0.4,12,Undirected
7,39,0.4,12,Undirected
7,50,0.4,12,Undirected
7,17,0.35,13,Undirected
7,18,0.35,13,Undirected
7,19,0.35,13,Undirected
7,34,0.35,13,Undirected
7,47,0.35,13,Undirected
7,87,0.35,13,Undirected
7,11,0.30000000000000004,14,Undirected
7,53,0.050000000000000044,19,Undirected
8,26,0.65,7,Undirected
8,18,0.6,8,Undirected
8,34,0.6,8,Undirected
8,63,0.6,8,Undirected
8,64,0.6,8,Undirected
8,87,0.6,8,Undirected
8,27,0.55,9,Undirected
8,39,0.55,9,Undirected
8,40,0.55,9,Undirected
8,84,0.55,9,Undirected
8,12,0.5,10,Undirected
8,17,0.5,10,Undirected
8,19,0.5,10,Undirected
8,21,0.5,10,Undirected
8,15,0.35,13,Undirected
8,25,0.5,10,Undirected
8,28,0.44999999999999996,11,Undirected
8,38,0.44999999999999996,11,Undirected
8,46,0.5,10,Undirected
8,81,0.5,10,Undirected
9,10,0.5,10,Undirected
9,34,0.4,12,Undirected
9,30,0.35,13,Undirected
9,38,0.35,13,Undirected
9,50,0.35,13,Undirected
9,12,0.30000000000000004,14,Undirected
9,17,0.30000000000000004,14,Undirected
9,18,0.30000000000000004,14,Undirected
9,21,0.30000000000000004,14,Undirected
9,87,0.30000000000000004,14,Undirected
9,11,0.25,15,Undirected
9,13,0.25,15,Undirected
9,26,0.25,15,Undirected
9,32,0.25,15,Undirected
10,34,0.8,4,Undirected
10,50,0.75,5,Undirected
10,18,0.7,6,Undirected
10,75,0.65,7,Undirected
10,17,0.6,8,Undirected
10,19,0.6,8,Undirected
10,21,0.6,8,Undirected
10,48,0.6,8,Undirected
10,64,0.6,8,Undirected
10,70,0.6,8,Undirected
10,83,0.6,8,Undirected
10,87,0.6,8,Undirected
10,11,0.55,9,Undirected
10,20,0.55,9,Undirected
10,26,0.55,9,Undirected
10,13,0.35,13,Undirected
10,16,0.35,13,Undirected
10,27,0.55,9,Undirected
10,28,0.44999999999999996,11,Undirected
10,30,0.44999999999999996,11,Undirected
10,31,0.30000000000000004,14,Undirected
10,37,0.5,10,Undirected
10,38,0.55,9,Undirected
10,44,0.5,10,Undirected
10,45,0.4,12,Undirected
